epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21097.9,1.28529,0.94877,1.40472,0.7177,0.66667,0.74577,0.48866,1.47944,1.3178,1.31787,0.00098525,0.00098525,0.00098525
43,21600.4,1.24806,0.92397,1.38108,0.75434,0.58333,0.72407,0.48525,1.51203,1.39714,1.35195,0.0009605,0.0009605,0.0009605
44,22102.8,1.24674,0.87056,1.37455,0.68897,0.64103,0.69841,0.45927,1.54093,1.42561,1.41516,0.00093575,0.00093575,0.00093575
45,22605,1.22276,0.85549,1.36344,0.64257,0.67308,0.73272,0.47503,1.54259,1.44959,1.38038,0.000911,0.000911,0.000911
46,23107.5,1.21489,0.86072,1.36395,0.67487,0.64103,0.71913,0.47086,1.55917,1.45943,1.36305,0.00088625,0.00088625,0.00088625
47,23609.8,1.2238,0.85682,1.36137,0.67053,0.66026,0.74276,0.50524,1.54033,1.39074,1.31973,0.0008615,0.0008615,0.0008615
48,24112.5,1.20952,0.84436,1.37115,0.86855,0.55063,0.73835,0.51456,1.49406,1.35371,1.30601,0.00083675,0.00083675,0.00083675
49,24615.7,1.24386,0.86609,1.36473,0.88974,0.53205,0.74787,0.51023,1.52263,1.42534,1.33979,0.000812,0.000812,0.000812
50,25118.1,1.20118,0.81941,1.33325,0.88307,0.53205,0.72942,0.49106,1.49625,1.46333,1.29942,0.00078725,0.00078725,0.00078725
51,25620.5,1.18643,0.8356,1.35128,0.90723,0.53846,0.7433,0.50875,1.49145,1.35937,1.29566,0.0007625,0.0007625,0.0007625
52,26122.7,1.21068,0.84146,1.35587,0.69201,0.6859,0.75951,0.51331,1.47792,1.39739,1.32414,0.00073775,0.00073775,0.00073775
53,26625.5,1.17183,0.78838,1.34222,0.72544,0.66056,0.75843,0.52052,1.50051,1.35856,1.31155,0.000713,0.000713,0.000713
54,27129.4,1.18029,0.7904,1.33213,0.70468,0.72436,0.7731,0.52076,1.46871,1.29248,1.31149,0.00068825,0.00068825,0.00068825
55,27632.9,1.18877,0.79576,1.33541,0.90227,0.53846,0.74406,0.526,1.46437,1.37189,1.30955,0.0006635,0.0006635,0.0006635
56,28135.3,1.15672,0.78061,1.32613,0.73025,0.64207,0.77124,0.51322,1.47575,1.31963,1.30414,0.00063875,0.00063875,0.00063875
57,28637.5,1.16799,0.76403,1.32269,0.7108,0.64103,0.76364,0.52877,1.47146,1.34037,1.28505,0.000614,0.000614,0.000614
58,29140.2,1.1681,0.75252,1.31638,0.94303,0.53056,0.7223,0.50621,1.52712,1.50648,1.328,0.00058925,0.00058925,0.00058925
59,29643.2,1.15363,0.75755,1.30417,0.72784,0.73716,0.77517,0.53202,1.44003,1.30021,1.28167,0.0005645,0.0005645,0.0005645
60,30146.6,1.13519,0.73018,1.30327,0.73608,0.65385,0.73456,0.5027,1.44622,1.4767,1.26991,0.00053975,0.00053975,0.00053975
61,30649.9,1.15165,0.7395,1.305,0.72735,0.64983,0.74664,0.52564,1.39002,1.4066,1.23839,0.000515,0.000515,0.000515
62,31152,1.11041,0.72913,1.28212,0.75932,0.66739,0.77278,0.54521,1.4256,1.24256,1.25567,0.00049025,0.00049025,0.00049025
